customer_id,first_name,last_name,email,phone,city,state,pincode,gender,age,segment,registration_date,last_login_date,is_verified,is_active,total_orders,total_spent
CUST00001,Kunal,Gupta,kunal.gupta223@gmail.com,9117912889,Guwahati,Assam,314040,Male,54,New,30-07-2024,10-04-2025,0,1,7,1028341.51
CUST00002,Aryan,Gupta,aryan.gupta336@yahoo.in,9271550550,Navi Mumbai,Maharashtra,799535,Female,26,Budget,05-07-2023,03-05-2024,1,1,1,20337.39
CUST00003,Akash,Chatterjee,akash.chatterjee584@hotmail.com,9559676548,Surat,Gujarat,738196,Female,24,Regular,14-05-2022,31-10-2023,1,1,7,265688.26
CUST00004,Madhuri,Walia,madhuri.walia878@gmail.com,9673322422,Gwalior,Madhya Pradesh,238106,Female,23,Regular,21-01-2025,22-05-2025,1,0,7,173446.94
CUST00005,Vishal,Das,vishal.das342@yahoo.in,9920855521,Dhanbad,Jharkhand,783291,Female,59,Regular,06-06-2023,29-03-2024,1,0,4,239808.6
CUST00006,Meera,Joshi,meera.joshi673@gmail.com,9809180864,Allahabad,Uttar Pradesh,748725,Male,43,Budget,06-04-2022,21-10-2022,1,1,8,968618.59
CUST00007,Divya,Kumar,divya.kumar430@gmail.com,9718044438,Kota,Rajasthan,795458,Male,20,Regular,10-06-2022,06-04-2023,1,1,8,966584.78
CUST00008,Vikram,Arora,vikram.arora199@gmail.com,9143287667,Vijayawada,Andhra Pradesh,299100,Male,29,Premium,04-08-2021,29-03-2023,1,1,5,109007.97
CUST00009,Aarav,Walia,aarav.walia768@yahoo.in,9238159208,Jodhpur,Rajasthan,336446,Male,22,Regular,24-11-2022,18-05-2025,1,1,9,1226134.82
CUST00010,Jyoti,Sethi,jyoti.sethi35@hotmail.com,9938859478,Chennai,Tamil Nadu,474635,Male,62,Budget,20-11-2024,21-01-2025,0,1,6,323427.7
CUST00011,Mohit,Kapoor,mohit.kapoor834@gmail.com,9953394816,Kolkata,West Bengal,471214,Male,40,Regular,29-11-2021,08-11-2023,1,1,7,343311.69
CUST00012,Pooja,Ghosh,pooja.ghosh686@gmail.com,9746690369,Pune,Maharashtra,798776,Male,43,Regular,04-07-2024,29-07-2024,1,1,12,739639.11
CUST00013,Aarav,Srivastava,aarav.srivastava319@gmail.com,9434747862,Firozabad,Uttar Pradesh,222924,Female,19,Regular,15-02-2025,19-04-2025,1,1,7,253082.63
CUST00014,Ananya,Shukla,ananya.shukla404@hotmail.com,9892867733,Kanpur,Uttar Pradesh,141844,Male,41,Premium,26-08-2021,14-09-2024,1,1,7,179930.24
CUST00015,Harish,Verma,harish.verma156@gmail.com,9269058334,Solapur,Maharashtra,737618,Female,23,Budget,22-06-2023,18-07-2024,1,1,4,683478.28
CUST00016,Geeta,Nair,geeta.nair57@hotmail.com,9602965098,Indore,Madhya Pradesh,414552,Male,19,Regular,27-10-2022,25-03-2024,1,1,4,204558.7
CUST00017,Shreya,Gupta,shreya.gupta993@gmail.com,9280590057,Aurangabad,Maharashtra,143019,Other,63,Regular,15-11-2023,15-03-2024,1,1,8,379207.29
CUST00018,Madhuri,Gandhi,madhuri.gandhi95@gmail.com,9255971131,Tiruchirappalli,Tamil Nadu,508732,Male,24,Budget,22-01-2022,10-12-2023,1,1,1,83068.48
CUST00019,Divya,Bose,divya.bose609@yahoo.in,9588361228,Nashik,Maharashtra,266652,Male,38,Regular,02-03-2024,25-06-2024,1,1,2,137839.56
CUST00020,Mohit,Chopra,mohit.chopra715@yahoo.in,9671040145,Navi Mumbai,Maharashtra,244270,Female,30,Budget,20-02-2022,03-08-2022,1,1,4,247513.71
CUST00021,Madhuri,Bajaj,madhuri.bajaj279@gmail.com,9951125259,Chennai,Tamil Nadu,609521,Female,44,Budget,26-07-2024,01-10-2024,1,1,4,39867.25
CUST00022,Rajan,Sharma,rajan.sharma394@gmail.com,9674044471,Gwalior,Madhya Pradesh,415838,Male,41,Regular,21-07-2020,12-04-2023,1,1,3,70237.58
CUST00023,Sneha,Bose,sneha.bose243@gmail.com,9524997474,Rajkot,Gujarat,350301,Male,18,Premium,13-01-2025,17-04-2025,1,0,7,575944.98
CUST00024,Ankita,Choudhury,ankita.choudhury559@gmail.com,9111756387,Kolkata,West Bengal,326865,Female,55,Regular,05-03-2025,20-03-2025,1,1,8,1401970.26
CUST00025,Deepak,Chopra,deepak.chopra162@hotmail.com,9593994293,Delhi,Delhi,489050,Female,62,Premium,21-11-2023,30-11-2024,1,1,15,874659.27
